pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,st_lum,st_mass,sy_snum,sy_pnum,pl_dens,st_teff,st_rad,pl_temp
61 Vir b,2.11,5.1,0.050201,0.12,0.8052810653384567,0.94,1,3,2.98,5577.0,0.96,15773.918369586156
61 Vir c,4.46,18.2,0.2175,0.14,0.8052810653384567,0.94,1,3,1.13,5577.0,0.96,7578.201391912969
61 Vir d,5.11,22.9,0.476,0.35,0.8052810653384567,0.94,1,3,0.943,5577.0,0.96,5122.62184076243
7 CMa b,13.4,587.9855,1.758,0.06,1.063,1.34,1,2,1.34,4826.0,4.87,5195.195259317204
7 CMa c,13.9,276.5121,2.153,0.08,1.063,1.34,1,2,0.566,4826.0,4.87,4694.49948162327
70 Vir b,12.6,2380.45,0.481,0.3988,0.451,1.09,1,1,6.54,5495.0,1.89,7045.074220975349
75 Cet b,13.3,787.89662,1.912,0.093,1.714,1.92,2,2,1.84,4809.0,10.38,7247.1795644626345
75 Cet c,13.9,289.85951,3.929,0.023,1.714,1.92,2,2,0.593,4809.0,10.38,5055.591227635373
8 UMi b,13.6,416.3573,0.49,0.06,1.725,1.44,1,1,0.91,4847.0,10.3,14373.187936626495
81 Cet b,13.1,1051.05854,2.104,0.037,1.76,1.23,1,1,2.57,4734.0,11.21,7067.530710798383
91 Aqr b,13.1,1017.0,0.7,0.027,1.692,1.4,3,1,2.49,4665.0,11.0,11960.751923489048
AB Aur b,12.5,2860.45566,93.9,0.4,1.771,2.4,1,1,8.05,9770.0,2.96,1121.9335501157648
AB Pic b,12.3,4290.5,260.0,0.05,0.6915901242788246,0.9,1,1,12.7,5285.0,1.0,211.99119833701565
AF Lep b,13.1,1017.0509,8.4,0.24,0.29,1.2,1,1,2.49,6130.0,1.25,1529.450233643639
AU Mic b,3.957,20.12,0.0649,0.00577,0.09473176224746377,0.51,1,3,1.32,3678.0,0.74,8032.759206159115
AU Mic c,2.522,9.6,0.1108,0.00338,0.09473176224746377,0.51,1,3,1.22,3678.0,0.74,6147.764414282849
AU Mic d,1.02,1.053,0.10091,0.00305,0.09473176224746377,0.51,1,3,5.45,3678.0,0.74,
BD+03 2562 b,12.7,2034.112,1.3,0.2,2.7,1.14,1,1,5.46,4095.0,32.35,13212.3139439913
BD+14 4559 b,13.8,330.5432,0.78,0.29,0.08235429999999999,0.49,1,1,0.691,4864.0,0.86,3303.3531319453805
BD+15 2375 b,13.8,337.21763,0.576,0.001,1.57,1.08,1,1,0.705,4649.0,8.95,11852.755731542156
BD+15 2940 b,13.7,352.78,0.539,0.26,2.01,1.1,1,1,0.754,4796.0,14.7,16199.550773605908
BD+20 2457 b,12.1,6807.63,1.45,0.15,3.17,2.8,1,2,21.1,4137.0,49.0,15554.608045445435
BD+20 2457 c,12.4,3963.17,2.01,0.18,3.17,2.8,1,2,11.4,4137.0,49.0,13211.284479994154
BD+20 274 b,13.0,1334.886,1.3,0.21,1.96,0.8,1,1,3.34,4296.0,17.3,10136.199746456052
BD+20 594 b,2.578,22.2481,0.241,0.0,6.0187686336937904,1.67,1,1,7.89,5766.0,1.08,7894.7340894916215
BD+45 564 b,13.6,432.24663,0.83,0.12,0.47829690000000014,0.81,1,1,0.944,5004.0,0.81,3197.2770950393183
BD+48 738 b,13.9,289.2253,1.0,0.2,1.69,0.74,1,1,0.592,4414.0,11.0,9468.652616863525
BD+48 740 b,13.5,540.311,1.7,0.76,1.64,1.09,1,1,1.21,4534.0,10.33,7228.80863526812
BD+49 828 b,13.5,508.5,4.2,0.35,1.47,1.52,1,1,1.14,4943.0,7.6,4300.631915784889
BD+55 362 b,14.0,228.83645,0.78,0.27,0.7188609179509692,0.91,1,1,0.458,5012.0,0.9,3482.1263684029054
BD+60 1417 b,14.684,4767.4261,1662.0,0.05,0.356,1.0,1,1,8.27,4993.0,0.8,70.85174680947014
BD+63 1405 b,12.4,3305.41543,2.06,0.88,0.499284959284455,0.82,1,1,9.53,5000.0,0.8,2015.3055449449357
BD-06 1339 b,2.85,8.5,0.0428,0.0,0.28697438910118783,0.7,1,2,2.02,4324.0,0.69,11229.175212211472
BD-06 1339 c,8.38,53.0,0.435,0.31,0.28697438910118783,0.7,1,2,0.495,4324.0,0.69,3522.2900369824074
BD-08 2823 b,3.61,12.7132,0.06,0.15,0.08838834764831845,0.5,1,2,1.48,4816.0,0.71,10715.181692826905
BD-08 2823 c,12.5,104.0,0.68,0.19,0.34858686540120815,0.74,1,2,0.293,4746.0,0.72,3158.6320511561444
BD-10 3166 b,14.1,187.5197,0.04,0.02,3.8513294591877787,1.47,1,1,0.368,5393.0,0.91,16637.21515292702
BD-11 4672 b,14.1,206.5895,2.36,0.05,0.22140975341264896,0.65,1,2,0.405,4550.0,0.64,1532.5155657382604
BD-11 4672 c,4.04,15.37,0.3,0.4,0.22140975341264896,0.65,1,2,1.28,4550.0,0.64,4298.335082247134
BD-13 2130 b,12.5,3108.3774,1.66,0.21,2.043,2.12,1,1,8.75,4545.0,19.17,9989.65321364746
BD-14 3065 b,21.59,3932.0,0.0656,0.066,1.06,1.41,3,1,2.15,6935.0,2.35,26846.519449105603
BD-17 63 b,12.8,1639.99458,1.34,0.5439,0.34858686540120815,0.74,1,1,4.3,4714.0,0.74,2265.7529339740468
BD-210397 b,14.0,214.0,2.63,0.1,0.2592872696148425,0.68,1,2,0.429,4051.0,0.75,1399.1829773145012
BD-210397 c,12.9,1525.57635,5.9,0.43,0.2728800698583353,0.69,1,2,3.91,4051.0,0.75,934.1710002554287
Barnard b,0.764,0.37,0.02294,0.16,0.0016384000000000001,0.16,1,1,4.56,3195.0,0.18,5788.551752290642
CD Cet b,1.82,3.95,0.0185,0.05,0.0016384000000000001,0.16,1,1,3.6,3130.0,0.17,6136.80673273268
CFBDSIR J145829+101343 b,12.4,3337.1,2.6,0.05,1.1313708498984761e-06,0.02,1,1,9.62,580.5,0.97,
CFHTWIR-Oph 98 b,20.849,2479.06157,200.0,0.05,1.0000000000000001e-07,0.01,1,1,1.5,2320.0,0.24,51.98022081609701
CHXR 73 b,12.3,3994.486,210.0,0.05,0.025365192070039597,0.35,1,1,11.8,3099.0,0.97,
CI Tau c,13.0,1144.18227,0.17,0.58,0.6915901242788246,0.9,1,1,2.86,3807.0,1.88,8188.358582671845
COCONUTS-2 b,12.442,2542.62726,7506.0,0.05,0.03081101704471957,0.37,1,1,7.25,3406.0,0.39,15.879330185599748
CT Cha b,24.66,5403.0,440.0,0.05,0.419,0.96,1,1,1.98,4403.0,1.68,175.96913542259963
CoRoT-1 b,16.7,327.35,0.02752,0.0,0.298,0.95,1,1,0.38,5950.0,1.11,24440.706316677097
CoRoT-10 b,10.87,874.0,0.1055,0.53,0.6915901242788246,0.9,1,1,3.7,4921.0,0.79,8709.639770796728
CoRoT-11 b,16.03,740.51,0.0436,0.0,0.378,1.27,1,1,0.99,6440.0,1.37,23348.684590759116
CoRoT-12 b,16.14,291.438,0.04016,0.07,0.07,1.08,1,1,0.411,5675.0,1.05,18768.223886228836
CoRoT-13 b,9.92,415.704,0.051,0.0,0.073,1.09,1,1,2.34,5945.0,1.01,17111.4562004631
CoRoT-14 b,12.22,2415.4,0.027,0.0,0.119,1.13,1,1,7.3,6035.0,1.21,26130.492164375093
CoRoT-16 b,13.11,170.032,0.0618,0.33,1.3959645769144722,1.1,1,1,0.44,5650.0,1.19,16035.673429133341
CoRoT-17 b,11.43,772.29,0.0461,0.0,0.134,1.04,1,1,2.82,5740.0,1.59,21803.16312339027
CoRoT-18 b,14.68,1102.82,0.0295,0.08,0.5898540685771015,0.86,1,1,2.2,5440.0,0.88,19217.139375951574
CoRoT-19 b,14.46,352.78,0.0518,0.047,0.544,1.21,1,1,0.71,6090.0,1.65,22230.738855130396
CoRoT-2 b,16.432,1102.82,0.02798,0.0143,0.866860702828407,0.96,2,1,1.47,5625.0,0.91,20748.126158046784
CoRoT-20 b,9.416,1366.669,0.09,0.59,0.17,1.14,1,2,8.87,4947.5,1.37,12484.879180045245
CoRoT-20 c,12.2,5403.11,2.9,0.6,0.006,1.14,1,2,16.4,4947.5,1.37,2199.4120478162163
CoRoT-21 b,14.572,718.2958,0.0417,0.0,0.705,1.29,1,1,1.36,6200.0,1.95,27422.085453349573
CoRoT-22 b,4.88,12.2,0.092,0.077,0.014,1.1,1,1,0.249,5939.0,1.14,13521.70165753871
CoRoT-23 b,11.77,889.9,0.048,0.16,0.087,1.14,1,1,3.0,5900.0,1.61,22100.588744297434
CoRoT-24 b,3.7,5.7,0.056,0.0,0.7188609179509692,0.91,1,2,0.9,4950.0,0.86,12546.42293150366
CoRoT-24 c,5.0,28.0,0.098,0.0,0.7188609179509692,0.91,1,2,1.3,4950.0,0.86,9484.20426291333
CoRoT-25 b,12.11,85.81,0.0578,0.0,0.141,1.09,1,1,0.15,6040.0,1.19,17725.806833376435
CoRoT-26 b,14.12,165.26,0.0526,0.0,0.451,1.09,1,1,0.28,5590.0,1.79,21091.378402181035
CoRoT-27 b,11.287,3302.11,0.0476,0.065,1.1862126380443982,1.05,1,1,12.6,5900.0,1.08,18176.904488413766
CoRoT-28 b,10.705,153.82972,0.0603,0.047,0.388,1.01,1,1,0.69,5150.0,1.78,18097.479206026524
CoRoT-29 b,10.088,270.1555,0.0386,0.082,0.8988786596538656,0.97,1,1,1.45,5260.0,0.9,16427.552307244798
CoRoT-3 b,11.32,6883.91,0.05783,0.0,0.391,1.37,1,1,26.4,6740.0,1.56,22641.49563333971
CoRoT-30 b,11.31,921.707,0.0844,0.007,0.9317325438379406,0.98,1,1,3.45,5650.0,0.91,11999.342034761148
CoRoT-31 b,16.365,266.9772,0.0586,0.02,0.398,1.25,1,1,0.33,5700.0,2.15,22330.82611347804
CoRoT-35 b,18.831,349.61125,0.0429,0.0,0.362,1.01,1,1,0.29,6390.0,1.65,25631.480745005298
CoRoT-36 b,15.805,216.12332,0.066,0.0,0.813,1.32,1,1,0.25,6730.0,1.52,20889.324798701273
CoRoT-4 b,13.34,228.83,0.09,0.0,0.185,1.16,1,1,0.525,6190.0,1.17,14435.16782297438
CoRoT-5 b,15.558,148.42,0.04947,0.09,0.18,1.0,1,1,0.217,6254.0,1.11,19160.547883466676
CoRoT-6 b,13.068,940.74,0.0855,0.1,0.026,1.05,1,1,2.32,6090.0,1.03,13671.380156802788
CoRoT-7 b,1.681,4.07661,0.017016,0.0,0.499284959284455,0.82,1,3,9.355,5275.0,0.83,23828.257457626467
CoRoT-7 c,2.83,8.4,0.046,0.0,0.6915901242788246,0.9,1,3,2.04,5256.0,0.86,14698.911615723064
CoRoT-7 d,4.31,17.142,0.10091,0.05,0.746891291445067,0.92,1,3,1.18,5250.0,0.84,
CoRoT-8 b,6.39,69.92,0.063,0.0,0.6650664244684812,0.89,1,1,1.6,5080.0,0.8,11708.41057320707
CoRoT-9 b,11.949,266.9772,0.4021,0.133,0.866860702828407,0.96,2,1,0.86,5625.0,0.96,5621.479340449134
CoRoTID 223977153 b,6.389,47.6745,0.071,0.05,1.3091311121425235,1.08,1,1,1.1,5970.0,0.79,12880.069741183794
DE CVn b,12.4,3823.2733,5.75,0.0,0.09473176224746377,0.51,2,1,11.0,3579.0,0.42,625.621886381541
DENIS-P J082303.1-491201 b,11.9,9057.77,0.36,0.345,9.074926996951549e-05,0.07,1,1,29.5,5597.0,0.97,
DH Tau b,30.264,3496.0,330.0,0.05,0.020644234782863716,0.33,1,1,0.693,4371.0,0.27,80.86586395048809
DMPP-1 b,5.29,24.27,0.1462,0.083,0.32,1.21,1,4,0.901,6196.0,1.26,11764.744707276635
DMPP-1 c,3.06,9.6,0.0733,0.057,0.32,1.21,1,4,1.84,6196.0,1.26,16615.147708170516
DMPP-1 d,1.65,3.35,0.0422,0.07,0.32,1.21,1,4,4.1,6196.0,1.26,21897.773954474334
DMPP-1 e,1.86,4.13,0.0651,0.07,0.32,1.21,1,4,3.53,6196.0,1.26,17630.543457457534
DMPP-2 b,14.3,138.89171,0.0664,0.078,0.104,1.44,1,1,0.261,6500.0,1.78,21767.012681590826
DMPP-3 A b,1.41,2.58,0.0662,0.14,0.6142107088596144,0.87,2,1,5.06,5138.0,0.91,12320.981728764902
DMPP-4 b,3.53,12.2,0.04853,0.063,0.459,1.25,1,1,1.52,6400.0,1.38,22073.636358509484
DP Leo b,12.7,1995.88832,8.19,0.39,0.2728800698583353,0.69,2,1,5.35,13500.0,0.01,305.10640854413066
